Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
2019-09-01,0,163,1,0.006134969325153374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02,0,72,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-03,0,24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-04,0,24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-05,0,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-06,0,35,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-07,0,20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-08,2,1177,40,0.033984706881903144,2,1,13,5,15,0,4,0,0,0,0,0,0,0,0
2019-09-09,0,629,17,0.027027027027027032,0,0,2,2,9,0,4,0,0,0,0,0,0,0,0
2019-09-10,1,148,5,0.03378378378378378,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0
2019-09-11,0,133,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-12,0,116,3,0.02586206896551724,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2019-09-13,1,749,2,0.0026702269692923893,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-14,0,882,5,0.005668934240362812,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
2019-09-15,0,230,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-16,0,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-17,1,537,10,0.0186219739292365,1,0,2,4,0,0,3,0,0,0,0,0,0,0,0
2019-09-18,0,85,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-19,0,134,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-20,3,721,18,0.02496532593619972,0,3,4,8,0,0,3,0,0,0,0,0,0,0,0
2019-09-21,1,571,5,0.008756567425569177,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2019-09-22,4,3182,53,0.016656191074795726,0,5,17,8,19,0,4,0,0,0,0,0,0,0,0
2019-09-23,5,2802,54,0.019271948608137045,0,6,22,10,7,0,9,0,0,0,0,0,0,0,0
2019-09-24,1,1700,21,0.012352941176470587,1,0,2,1,7,0,10,0,0,0,0,0,0,0,0
2019-09-25,2,2410,40,0.016597510373443983,2,0,7,6,20,0,5,0,0,0,0,0,0,0,0
2019-09-26,2,964,17,0.017634854771784232,0,0,3,3,4,0,7,0,0,0,0,0,0,0,0
2019-09-27,0,666,10,0.015015015015015015,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0
2019-09-28,0,633,12,0.018957345971563986,0,0,4,1,4,0,2,0,0,0,0,0,0,1,1
2019-09-29,1,2212,35,0.015822784810126583,1,0,13,3,10,0,8,0,0,0,0,0,0,0,0
2019-09-30,0,728,5,0.006868131868131868,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1
2019-10-01,0,498,6,0.012048192771084338,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
2019-10-02,8,2173,43,0.01978831109065808,0,6,19,4,3,0,8,0,0,0,0,0,0,3,3
2019-10-03,0,381,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-04,1,794,8,0.010075566750629723,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1
2019-10-05,0,330,8,0.02424242424242424,0,0,3,2,1,0,2,0,0,0,0,0,0,0,0
2019-10-06,0,453,10,0.022075055187637967,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0
2019-10-07,2,2154,47,0.02181987000928505,0,2,14,11,8,0,12,0,0,0,0,0,0,0,0
2019-10-08,0,1560,15,0.009615384615384616,0,0,4,0,7,0,4,0,0,0,0,0,0,0,0
2019-10-09,0,1217,7,0.005751848808545604,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
2019-10-10,0,1025,7,0.006829268292682928,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0
2019-10-11,9,3683,32,0.008688569101276133,0,7,10,5,3,0,7,0,0,0,0,0,0,0,0
2019-10-12,0,2460,20,0.008130081300813009,0,0,3,13,1,0,3,0,0,0,0,0,0,0,0
2019-10-13,2,2001,20,0.009995002498750623,0,1,9,7,0,0,3,0,0,0,0,0,0,0,0
2019-10-14,1,2610,30,0.011494252873563218,2,1,7,7,5,0,8,0,0,0,0,0,0,0,0
2019-10-15,2,2459,31,0.012606750711671413,2,3,16,6,2,0,1,0,0,0,1,0,0,0,0
2019-10-16,2,1528,32,0.020942408376963352,1,3,8,9,8,0,3,0,0,0,0,0,0,0,0
2019-10-17,1,633,11,0.017377567140600316,0,1,5,1,0,0,3,0,0,0,0,0,0,1,1
2019-10-18,0,597,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-19,0,188,3,0.015957446808510637,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2019-10-20,0,300,2,0.006666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-21,0,1008,9,0.008928571428571428,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0
2019-10-22,1,1404,13,0.009259259259259259,0,0,8,2,1,0,2,0,0,0,0,0,0,0,0
2019-10-23,2,1246,7,0.005617977528089888,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0
2019-10-24,2,1043,8,0.007670182166826463,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0
2019-10-25,3,1752,20,0.01141552511415525,0,2,6,9,0,0,3,0,0,0,0,0,0,0,0
2019-10-26,1,2603,33,0.012677679600461006,0,0,10,10,8,0,4,0,0,0,0,0,0,1,1
2019-10-27,10,4391,87,0.019813254383967204,1,11,32,27,3,0,13,0,0,0,0,0,0,0,0
2019-10-28,0,3532,55,0.015571913929784825,0,5,12,23,3,0,11,0,0,0,0,0,0,1,1
2019-10-29,1,1356,9,0.00663716814159292,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0
2019-10-30,0,232,3,0.01293103448275862,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2019-10-31,0,314,4,0.012738853503184714,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2019-11-01,0,591,19,0.032148900169204735,0,0,3,1,0,0,15,0,0,0,0,0,0,0,0
2019-11-02,1,474,10,0.02109704641350211,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0
2019-11-03,0,300,2,0.006666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-04,0,256,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-05,0,306,3,0.00980392156862745,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2019-11-06,8,3728,128,0.03433476394849785,0,6,17,16,5,0,8,0,0,0,0,0,0,76,76
2019-11-07,1,1092,24,0.02197802197802198,0,0,2,5,2,0,6,0,0,0,0,0,0,9,9
2019-11-08,5,2026,38,0.01875616979269496,0,7,7,15,3,0,3,0,0,0,0,0,0,3,3
2019-11-09,0,1167,15,0.012853470437017995,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0
2019-11-10,0,708,10,0.014124293785310734,0,0,1,0,0,0,4,0,0,0,0,0,0,5,5
2019-11-11,0,840,13,0.015476190476190475,0,0,0,0,0,0,4,0,0,0,0,0,0,9,9
2019-11-12,1,808,11,0.013613861386138614,0,0,3,2,0,0,4,0,0,0,0,0,0,2,2
2019-11-13,10,27408,175,0.00638499708114419,6,13,82,43,3,0,25,0,0,0,0,0,0,3,3
2019-11-14,0,1576,14,0.00888324873096447,0,0,6,4,0,0,4,0,0,0,0,0,0,0,0
2019-11-15,0,447,5,0.011185682326621923,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2
2019-11-16,2,0,45,0.0,7,4,34,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-17,0,2607,75,0.028768699654775607,3,2,35,11,7,0,12,0,0,0,0,0,0,5,5
2019-11-18,0,1365,17,0.012454212454212457,1,0,9,0,1,0,4,0,0,0,0,0,0,2,2
2019-11-19,2,1645,29,0.01762917933130699,1,1,8,15,0,0,1,0,0,0,0,0,0,3,3
2019-11-20,1,891,8,0.008978675645342313,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0
2019-11-21,0,634,4,0.006309148264984227,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1
2019-11-22,3,1489,18,0.01208865010073875,1,2,7,2,0,0,6,0,0,0,0,0,0,0,0
2019-11-23,1,1640,9,0.005487804878048779,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0
2019-11-24,0,553,6,0.0108499095840868,0,0,1,1,0,0,2,0,0,0,0,0,0,2,2
2019-11-25,0,779,7,0.008985879332477536,0,0,3,0,0,0,2,0,0,0,0,0,0,2,2
2019-11-26,2,1720,26,0.01511627906976744,2,1,12,7,1,0,1,0,0,0,0,0,0,2,2
2019-11-27,0,987,7,0.007092198581560284,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0
