Account,Day,Follower,Gains,Following,Follows,Unfollows,Tweets,Replies,Retweets,Likes,Unlikes,DMs
genuine_doubt,21-09-2019,1835,N/A,1970,104,0,0,0,0,0,0,0
genuine_doubt,22-09-2019,1855,20,2238,273,0,0,0,0,0,0,0
genuine_doubt,23-09-2019,1888,33,2471,259,16,0,0,0,0,0,0
genuine_doubt,24-09-2019,1911,23,2690,258,32,0,0,0,0,0,0
genuine_doubt,25-09-2019,1935,24,2731,158,111,0,0,0,0,0,0
genuine_doubt,26-09-2019,1935,0,2733,5,3,0,0,0,0,0,0
genuine_doubt,27-09-2019,1952,17,2853,159,18,0,0,0,0,0,0
genuine_doubt,28-09-2019,1972,20,2975,122,4,0,0,0,0,0,0
genuine_doubt,29-09-2019,1997,25,3261,311,17,0,0,0,0,0,0
genuine_doubt,30-09-2019,2004,7,3383,123,4,0,0,0,0,0,0
genuine_doubt,1/10/19,2016,12,3524,141,7,0,0,0,0,0,0
genuine_doubt,2/10/19,2042,26,3209,61,200,0,0,0,0,0,0
genuine_doubt,3/10/19,2049,7,2829,14,339,0,0,0,0,0,0
genuine_doubt,4/10/19,2049,0,2531,0,313,0,0,0,0,0,0
genuine_doubt,5/10/19,2055,6,2583,158,338,0,0,0,0,0,0
genuine_doubt,6/10/19,2080,25,2725,287,397,0,0,0,0,0,0
genuine_doubt,7/10/19,2137,57,2600,224,317,0,0,0,0,0,0
genuine_doubt,8/10/19,2192,55,2498,259,310,0,0,0,0,0,0
genuine_doubt,9/10/19,2226,34,2504,285,379,0,0,0,0,0,0
genuine_doubt,10/10/19,2271,45,2507,300,297,0,0,0,0,0,0
genuine_doubt,11/10/19,2306,35,2599,350,258,0,0,0,0,0,0
genuine_doubt,12/10/19,2323,17,2594,206,198,0,0,0,0,0,0
genuine_doubt,13-10-2019,2363,40,2576,274,289,0,0,0,0,0,0
genuine_doubt,14-10-2019,2409,46,2695,346,231,0,0,0,0,0,0
genuine_doubt,15-10-2019,2455,46,2750,338,297,0,0,0,0,0,0
genuine_doubt,16-10-2019,2484,29,2634,187,305,0,0,0,0,0,0
genuine_doubt,17-10-2019,2492,8,2526,49,158,0,0,0,0,0,0
genuine_doubt,18-10-2019,2495,3,2525,21,21,0,0,0,0,0,0
genuine_doubt,19-10-2019,2495,0,2513,4,21,0,0,0,0,0,0
genuine_doubt,20-10-2019,2498,3,2541,60,25,0,0,0,0,0,0
genuine_doubt,21-10-2019,2549,51,2777,286,51,0,0,0,0,0,0
genuine_doubt,22-10-2019,2588,39,2787,232,226,0,0,0,0,0,0
genuine_doubt,23-10-2019,2611,23,2781,183,189,0,0,0,0,0,0
genuine_doubt,24-10-2019,2615,4,2724,125,178,0,0,0,0,0,0
genuine_doubt,25-10-2019,2653,38,2931,317,110,0,0,0,0,0,0
genuine_doubt,26-10-2019,2694,41,2968,305,267,0,0,0,0,0,0
genuine_doubt,27-10-2019,2731,37,3093,395,268,0,0,0,0,0,0
genuine_doubt,28-10-2019,2751,20,3112,228,210,0,0,0,0,0,0
genuine_doubt,29-10-2019,2760,9,3222,262,155,0,0,0,0,0,0
genuine_doubt,30-10-2019,2761,1,3289,267,202,0,0,0,0,0,0
genuine_doubt,31-10-2019,2766,5,3268,15,35,0,0,0,0,0,0
genuine_doubt,1/11/19,2772,6,3248,23,43,0,0,0,0,0,0
genuine_doubt,2/11/19,2781,9,3228,26,46,0,0,0,0,0,0
genuine_doubt,3/11/19,2794,13,3205,33,58,0,0,0,0,0,0
genuine_doubt,4/11/19,2799,5,3189,37,53,0,0,0,0,0,0
genuine_doubt,5/11/19,2812,13,3157,60,91,0,0,0,0,0,0
genuine_doubt,6/11/19,2835,23,3109,145,195,0,0,0,0,0,0
genuine_doubt,7/11/19,2860,25,3111,157,157,0,0,0,0,0,0
genuine_doubt,8/11/19,2876,16,3158,168,121,0,0,0,0,0,0
genuine_doubt,9/11/19,2903,27,3220,142,76,0,0,0,0,0,0
genuine_doubt,10/11/19,2923,20,3282,128,66,0,0,0,0,0,0
genuine_doubt,11/11/19,2935,12,3268,105,119,0,0,0,0,0,0
genuine_doubt,12/11/19,2961,26,3220,166,216,0,0,0,0,0,0
genuine_doubt,13-11-2019,2984,23,3273,172,119,0,0,0,0,0,0
genuine_doubt,14-11-2019,3018,34,3303,176,143,0,0,0,0,0,0
genuine_doubt,15-11-2019,3019,1,3321,35,16,0,0,0,0,0,0
genuine_doubt,16-11-2019,3042,23,3271,127,175,0,0,0,0,0,0
genuine_doubt,17-11-2019,3076,34,3342,194,124,0,0,0,0,0,0
genuine_doubt,18-11-2019,3111,35,3410,173,104,0,0,0,0,0,0
genuine_doubt,19-11-2019,3137,26,3398,137,151,0,0,0,0,0,0
genuine_doubt,20-11-2019,3153,16,3384,134,147,0,0,0,0,0,0
genuine_doubt,21-11-2019,3173,20,3383,120,120,0,0,0,0,0,0
genuine_doubt,22-11-2019,3201,28,3454,189,119,0,0,0,0,0,0
genuine_doubt,23-11-2019,3212,11,3513,117,56,0,0,0,0,0,0
genuine_doubt,24-11-2019,3226,14,3438,104,179,0,0,0,0,0,0
genuine_doubt,25-11-2019,3254,28,3471,162,129,0,0,0,0,0,0
genuine_doubt,26-11-2019,3274,20,3552,175,92,0,0,0,0,0,0
