"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2019-11-01","0","591","19","0.032148900169204735","0","0","3","1","0","0","15","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-02","1","474","10","0.02109704641350211","0","2","0","2","0","0","6","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-03","0","300","2","0.006666666666666667","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-04","0","256","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-05","0","306","3","0.00980392156862745","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-06","8","3728","128","0.034334763948497854","0","6","17","16","5","0","8","0","0","0","0","0","0","76","76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-07","1","1092","24","0.02197802197802198","0","0","2","5","2","0","6","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-08","5","2026","38","0.018756169792694965","0","7","7","15","3","0","3","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-09","0","1167","15","0.012853470437017995","0","2","5","8","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-10","0","708","10","0.014124293785310734","0","0","1","0","0","0","4","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-11","0","840","13","0.015476190476190477","0","0","0","0","0","0","4","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-12","1","808","11","0.013613861386138614","0","0","3","2","0","0","4","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-13","10","27408","175","0.006384997081144191","6","13","82","43","3","0","25","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-14","0","1576","14","0.008883248730964468","0","0","6","4","0","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-15","0","447","5","0.011185682326621925","0","0","1","2","0","0","0","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-16","2","0","45","0.0","7","4","34","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-17","0","2607","75","0.028768699654775604","3","2","35","11","7","0","12","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-18","0","1365","17","0.012454212454212455","1","0","9","0","1","0","4","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-19","2","1645","29","0.01762917933130699","1","1","8","15","0","0","1","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-20","1","891","8","0.008978675645342313","0","0","5","0","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-21","0","634","4","0.006309148264984227","0","0","1","0","0","0","2","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-22","3","1489","18","0.01208865010073875","1","2","7","2","0","0","6","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-23","1","1640","9","0.00548780487804878","0","0","3","3","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-24","0","553","6","0.0108499095840868","0","0","1","1","0","0","2","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-25","0","779","7","0.008985879332477536","0","0","3","0","0","0","2","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-26","2","1720","26","0.015116279069767442","2","1","12","7","1","0","1","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-11-27","0","987","7","0.0070921985815602835","1","0","4","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
